items,Positive,Negative,Neutral,Total,Pos_Pct,Neg_Pct
9.01,31456,31225,1289,63970,0.4917304986712521,0.48811943098327343
5.02,12907,13130,551,26588,0.48544456145629605,0.49383180382127273
1.01,12289,12110,490,24889,0.4937522600345534,0.4865603278556792
8.01,10982,10572,517,22071,0.4975760047120656,0.47899959222509175
2.02,7299,7438,288,15025,0.48579034941763727,0.49504159733777037
7.01,5632,5380,198,11210,0.5024085637823372,0.47992863514719003
5.07,3196,3236,152,6584,0.48541919805589306,0.491494532199271
2.03,2964,2922,98,5984,0.49532085561497324,0.48830213903743314
5.03,1839,1855,99,3793,0.48484049564988135,0.48905879251252304
2.01,1376,1231,71,2678,0.513816280806572,0.45967139656460043
7,1131,1289,56,2476,0.45678513731825526,0.5205977382875606
1.02,1067,1052,67,2186,0.48810612991765784,0.48124428179322964
3.02,917,985,49,1951,0.47001537672988214,0.5048692977960021
5,777,789,34,1600,0.485625,0.493125
12,603,710,33,1346,0.44799405646359586,0.5274888558692422
3.03,646,551,50,1247,0.5180433039294307,0.4418604651162791
3.01,553,545,52,1150,0.4808695652173913,0.47391304347826085
2.05,412,379,17,808,0.5099009900990099,0.46905940594059403
4.01,373,395,20,788,0.4733502538071066,0.501269035532995
9,295,323,14,632,0.46677215189873417,0.5110759493670886
4.02,268,322,16,606,0.44224422442244227,0.5313531353135313
2.06,207,195,4,406,0.5098522167487685,0.4802955665024631
5.01,223,124,39,386,0.5777202072538861,0.32124352331606215
5.05,133,126,7,266,0.5,0.47368421052631576
2.04,121,95,6,222,0.545045045045045,0.42792792792792794
2,70,83,1,154,0.45454545454545453,0.538961038961039
5.04,70,59,2,131,0.5343511450381679,0.45038167938931295
4,26,41,2,69,0.37681159420289856,0.5942028985507246
5.08,22,17,1,40,0.55,0.425
1.04,6,15,1,22,0.2727272727272727,0.6818181818181818
1,6,8,0,14,0.42857142857142855,0.5714285714285714
11,6,7,1,14,0.42857142857142855,0.5
10,3,7,1,11,0.2727272727272727,0.6363636363636364
5.06,4,5,1,10,0.4,0.5
8,2,4,0,6,0.3333333333333333,0.6666666666666666
6,2,3,0,5,0.4,0.6
1.03,3,1,0,4,0.75,0.25
6.03,1,1,0,2,0.5,0.5
"",1,0,0,1,1.0,0.0
